-8.292945e+15	-7.763648e+15	-7.274398e+15	-6.822671e+15	-6.406136e+15	-6.022646e+15	-5.670221e+15	-5.347045e+15	-5.051450e+15	-4.781912e+15	-4.537039e+15	-4.315569e+15	-4.116360e+15	-3.938385e+15	-3.780724e+15	-3.642564e+15	-3.523194e+15	-3.421997e+15	-3.338452e+15	-3.272127e+15	-3.222680e+15	-3.189857e+15	-3.173487e+15	
-9.065126e+15	-8.486545e+15	-7.951739e+15	-7.457950e+15	-7.002631e+15	-6.583432e+15	-6.198193e+15	-5.844925e+15	-5.521806e+15	-5.227170e+15	-4.959496e+15	-4.717405e+15	-4.499647e+15	-4.305099e+15	-4.132758e+15	-3.981734e+15	-3.851249e+15	-3.740630e+15	-3.649305e+15	-3.576805e+15	-3.522754e+15	-3.486874e+15	-3.468980e+15	
-9.821392e+15	-9.194542e+15	-8.615120e+15	-8.080136e+15	-7.586831e+15	-7.132661e+15	-6.715283e+15	-6.332543e+15	-5.982467e+15	-5.663251e+15	-5.373247e+15	-5.110959e+15	-4.875034e+15	-4.664256e+15	-4.477537e+15	-4.313914e+15	-4.172543e+15	-4.052695e+15	-3.953752e+15	-3.875203e+15	-3.816643e+15	-3.777770e+15	-3.758383e+15	
-1.056048e+16	-9.886456e+15	-9.263431e+15	-8.688188e+15	-8.157761e+15	-7.669413e+15	-7.220626e+15	-6.809084e+15	-6.432664e+15	-6.089426e+15	-5.777598e+15	-5.495572e+15	-5.241894e+15	-5.015254e+15	-4.814484e+15	-4.638548e+15	-4.486538e+15	-4.357672e+15	-4.251282e+15	-4.166822e+15	-4.103855e+15	-4.062057e+15	-4.041212e+15	
-1.128116e+16	-1.056114e+16	-9.895601e+15	-9.281102e+15	-8.714476e+15	-8.192802e+15	-7.713387e+15	-7.273760e+15	-6.871652e+15	-6.504990e+15	-6.171882e+15	-5.870610e+15	-5.599619e+15	-5.357513e+15	-5.143042e+15	-4.955099e+15	-4.792716e+15	-4.655055e+15	-4.541405e+15	-4.451181e+15	-4.383917e+15	-4.339266e+15	-4.316999e+15	
-1.198228e+16	-1.121751e+16	-1.051060e+16	-9.857912e+15	-9.256071e+15	-8.701975e+15	-8.192766e+15	-7.725817e+15	-7.298718e+15	-6.909269e+15	-6.555458e+15	-6.235462e+15	-5.947630e+15	-5.690477e+15	-5.462676e+15	-5.263053e+15	-5.090578e+15	-4.944361e+15	-4.823649e+15	-4.727817e+15	-4.656373e+15	-4.608947e+15	-4.585295e+15	
-1.266269e+16	-1.185450e+16	-1.110745e+16	-1.041770e+16	-9.781682e+15	-9.196121e+15	-8.657996e+15	-8.164530e+15	-7.713179e+15	-7.301614e+15	-6.927713e+15	-6.589546e+15	-6.285369e+15	-6.013613e+15	-5.772877e+15	-5.561918e+15	-5.379649e+15	-5.225129e+15	-5.097562e+15	-4.996289e+15	-4.920787e+15	-4.870668e+15	-4.845673e+15	
-1.332135e+16	-1.247112e+16	-1.168521e+16	-1.095958e+16	-1.029048e+16	-9.674464e+15	-9.108348e+15	-8.589214e+15	-8.114386e+15	-7.681413e+15	-7.288063e+15	-6.932305e+15	-6.612306e+15	-6.326415e+15	-6.073157e+15	-5.851225e+15	-5.659475e+15	-5.496918e+15	-5.362715e+15	-5.256174e+15	-5.176745e+15	-5.124020e+15	-5.097725e+15	
-1.395724e+16	-1.306642e+16	-1.224300e+16	-1.148273e+16	-1.078169e+16	-1.013627e+16	-9.543131e+15	-8.999217e+15	-8.501723e+15	-8.048082e+15	-7.635955e+15	-7.263216e+15	-6.927942e+15	-6.628404e+15	-6.363057e+15	-6.130531e+15	-5.929628e+15	-5.759311e+15	-5.618702e+15	-5.507075e+15	-5.423855e+15	-5.368613e+15	-5.341062e+15	
-1.456941e+16	-1.363952e+16	-1.277998e+16	-1.198637e+16	-1.125458e+16	-1.058085e+16	-9.961696e+15	-9.393926e+15	-8.874611e+15	-8.401074e+15	-7.970871e+15	-7.581784e+15	-7.231804e+15	-6.919128e+15	-6.642143e+15	-6.399418e+15	-6.189704e+15	-6.011917e+15	-5.865140e+15	-5.748618e+15	-5.661748e+15	-5.604082e+15	-5.575323e+15	
-1.515697e+16	-1.418958e+16	-1.329538e+16	-1.246976e+16	-1.170846e+16	-1.100756e+16	-1.036344e+16	-9.772768e+15	-9.232510e+15	-8.739876e+15	-8.292324e+15	-7.887545e+15	-7.523452e+15	-7.198166e+15	-6.910010e+15	-6.657497e+15	-6.439325e+15	-6.254368e+15	-6.101672e+15	-5.980450e+15	-5.890077e+15	-5.830086e+15	-5.800167e+15	
-1.571910e+16	-1.471583e+16	-1.378847e+16	-1.293223e+16	-1.214270e+16	-1.141580e+16	-1.074778e+16	-1.013521e+16	-9.574917e+15	-9.064012e+15	-8.599861e+15	-8.180070e+15	-7.802474e+15	-7.465124e+15	-7.166281e+15	-6.904403e+15	-6.678140e+15	-6.486324e+15	-6.327965e+15	-6.202247e+15	-6.108522e+15	-6.046306e+15	-6.015278e+15	
-1.625503e+16	-1.521756e+16	-1.425858e+16	-1.337314e+16	-1.255669e+16	-1.180501e+16	-1.111422e+16	-1.048076e+16	-9.901367e+15	-9.373043e+15	-8.893068e+15	-8.458964e+15	-8.068494e+15	-7.719643e+15	-7.410611e+15	-7.139804e+15	-6.905827e+15	-6.707470e+15	-6.543713e+15	-6.413709e+15	-6.316788e+15	-6.252451e+15	-6.220365e+15	
-1.676408e+16	-1.569411e+16	-1.470510e+16	-1.379194e+16	-1.294992e+16	-1.217470e+16	-1.146228e+16	-1.080898e+16	-1.021144e+16	-9.666571e+15	-9.171564e+15	-8.723866e+15	-8.321168e+15	-7.961392e+15	-7.642682e+15	-7.363395e+15	-7.122090e+15	-6.917522e+15	-6.748636e+15	-6.614561e+15	-6.514606e+15	-6.448253e+15	-6.415163e+15	
-1.724561e+16	-1.614491e+16	-1.512749e+16	-1.418810e+16	-1.332189e+16	-1.252440e+16	-1.179152e+16	-1.111946e+16	-1.050475e+16	-9.944233e+15	-9.435008e+15	-8.974450e+15	-8.560185e+15	-8.190075e+15	-7.862211e+15	-7.574901e+15	-7.326665e+15	-7.116221e+15	-6.942484e+15	-6.804558e+15	-6.701731e+15	-6.633473e+15	-6.599432e+15	
