1.976114e-01	1.560999e-01	1.073697e-01	5.459179e-02	-8.899138e-10	-5.459179e-02	-1.073697e-01	-1.560999e-01	-1.976114e-01	
1.653992e-01	1.288902e-01	8.795335e-02	4.453320e-02	-9.857708e-10	-4.453320e-02	-8.795335e-02	-1.288902e-01	-1.653992e-01	
1.354984e-01	1.036193e-01	6.991547e-02	3.518742e-02	-1.080740e-09	-3.518742e-02	-6.991547e-02	-1.036193e-01	-1.354984e-01	
1.072671e-01	7.974832e-02	5.287274e-02	2.635619e-02	-1.176227e-09	-2.635619e-02	-5.287274e-02	-7.974833e-02	-1.072671e-01	
8.017215e-02	5.682949e-02	3.650656e-02	1.787471e-02	-1.273554e-09	-1.787471e-02	-3.650656e-02	-5.682950e-02	-8.017216e-02	
5.374983e-02	3.447343e-02	2.053993e-02	9.599706e-03	-1.374031e-09	-9.599709e-03	-2.053994e-02	-3.447343e-02	-5.374983e-02	
2.757676e-02	1.232447e-02	4.719826e-03	1.400277e-03	-1.478974e-09	-1.400280e-03	-4.719831e-03	-1.232447e-02	-2.757677e-02	
1.245172e-03	-9.959983e-03	-1.119756e-02	-6.849698e-03	-1.589871e-09	6.849695e-03	1.119755e-02	9.959977e-03	-1.245182e-03	
-2.565983e-02	-3.272858e-02	-2.746033e-02	-1.527858e-02	-1.708366e-09	1.527858e-02	2.746033e-02	3.272857e-02	2.565982e-02	
-5.358383e-02	-5.635582e-02	-4.433504e-02	-2.402427e-02	-1.836446e-09	2.402427e-02	4.433504e-02	5.635581e-02	5.358382e-02	
-8.303042e-02	-8.126504e-02	-6.212300e-02	-3.324267e-02	-1.976512e-09	3.324267e-02	6.212299e-02	8.126503e-02	8.303041e-02	
-1.145960e-01	-1.079577e-01	-8.118115e-02	-4.311848e-02	-2.131549e-09	4.311847e-02	8.118115e-02	1.079577e-01	1.145960e-01	
-1.490177e-01	-1.370534e-01	-1.019506e-01	-5.387994e-02	-2.305461e-09	5.387993e-02	1.019506e-01	1.370534e-01	1.490177e-01	
-1.872423e-01	-1.693486e-01	-1.249983e-01	-6.582036e-02	-2.503368e-09	6.582036e-02	1.249983e-01	1.693486e-01	1.872423e-01	
-2.305326e-01	-2.059050e-01	-1.510801e-01	-7.933094e-02	-2.732240e-09	7.933093e-02	1.510801e-01	2.059050e-01	2.305326e-01	
-2.806367e-01	-2.481927e-01	-1.812426e-01	-9.495318e-02	-3.001848e-09	9.495317e-02	1.812426e-01	2.481926e-01	2.806367e-01	
-3.400720e-01	-2.983287e-01	-2.169931e-01	-1.134670e-01	-3.326454e-09	1.134670e-01	2.169931e-01	2.983287e-01	3.400719e-01	
